City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
La Reforma,25.08,-108.05,99,25,0,8.01,MX,1604348358
Urengoy,65.97,78.37,23.25,97,100,13.13,RU,1604348359
Upernavik,72.79,-56.15,17.13,92,100,8.28,GL,1604348360
Qaqortoq,60.72,-46.03,23,49,75,6.93,GL,1604348360
Muros,42.78,-9.06,51.01,92,49,5.23,ES,1604348360
Barrow,71.29,-156.79,26.6,79,90,17.22,US,1604348090
Abhā,18.22,42.51,60.8,82,0,1.54,SA,1604348361
Keskin,39.67,33.61,45,60,0,1.59,TR,1604348361
Nagua,19.38,-69.85,78.8,94,75,7.94,DO,1604348361
Lubango,-14.92,13.49,63.45,87,59,5.7,AO,1604348362
Tuktoyaktuk,69.45,-133.04,6.8,77,90,17.22,CA,1604348362
Ketchikan,55.34,-131.65,53.6,100,90,13.87,US,1604348362
Uttarkāshi,30.73,78.45,56.19,46,0,6.17,IN,1604348363
San Jose,37.34,-121.89,80.01,37,90,3.02,US,1604348094
Cabo San Lucas,22.89,-109.91,88,58,20,6.93,MX,1604348251
Perbaungan,3.57,98.96,76.5,92,100,3.98,ID,1604348364
High Rock,26.62,-78.28,77,78,75,26.4,BS,1604348365
Preobrazheniye,42.9,133.91,33.53,82,22,11.48,RU,1604348365
Khatanga,71.97,102.5,12.29,96,100,8.3,RU,1604348365
San Patricio,28.02,-97.52,77,44,20,10.29,US,1604348365
Port Moresby,-9.44,147.18,80.6,83,40,5.82,PG,1604348366
Ca Mau,9.18,105.15,75.02,93,63,3.94,VN,1604348282
Fairbanks,64.84,-147.72,-9.4,75,90,0.69,US,1604348328
Malbork,54.04,19.03,57.99,100,100,11.14,PL,1604348367
Byron Bay,-28.65,153.62,60.8,72,83,11.41,AU,1604348367
Lüderitz,-26.65,15.16,61.47,87,97,6.69,NA,1604348368
La Ronge,55.1,-105.28,42.8,70,87,4.7,CA,1604348369
Wamba,8.93,8.6,76.26,46,80,2.75,NG,1604348210
Pánormos,35.42,24.69,63,63,100,5.14,GR,1604348369
Nioro,13.35,-15.75,84.97,33,99,3.29,GM,1604348370
Ancud,-41.87,-73.82,57.99,71,75,6.93,CL,1604348370
Mahanoro,-19.9,48.8,69.33,72,82,2.44,MG,1604348370
Puerto Ayora,-0.74,-90.35,77,69,75,6.93,EC,1604348371
Kunduz,36.73,68.86,53.42,35,0,1.59,AF,1604348371
Tezu,27.92,96.17,68.4,85,18,3.02,IN,1604348371
El Alto,-4.27,-81.21,77,65,0,13.87,PE,1604348372
Morros,-9.45,-46.3,75.6,80,90,7.29,BR,1604348372
Labuhan,-6.88,112.21,78.75,83,100,9.01,ID,1604348372
Inírida,3.87,-67.92,86.05,66,77,1.95,CO,1604348373
Sovetskiy,61.36,63.58,25.14,96,0,5.55,RU,1604348347
Codrington,-38.27,141.97,61.63,57,96,11.95,AU,1604348373
Hay River,60.82,-115.8,19.4,73,100,10.29,CA,1604348374
Waingapu,-9.66,120.26,79.95,75,96,5.61,ID,1604348374
Biltine,14.53,20.92,86.61,22,55,16.04,TD,1604348374
Tasiilaq,65.61,-37.64,28.4,54,0,4.7,GL,1604348374
Betafo,-19.83,46.85,64.83,54,41,0.74,MG,1604348375
San-Pédro,4.75,-6.64,78.04,86,15,3.2,CI,1604348375
Natal,-5.79,-35.21,84.2,69,40,14.99,BR,1604348376
Inongo,-1.95,18.27,73.89,87,100,0.49,CD,1604348377
Kūdligi,14.9,76.38,72.52,60,1,4.5,IN,1604348377
Necochea,-38.55,-58.74,70.23,52,1,12.84,AR,1604348378
Ostrovnoy,68.05,39.51,35.1,83,96,32.1,RU,1604348378
Palora,-1.7,-77.93,80.6,61,40,5.82,EC,1604348378
Mount Gambier,-37.83,140.77,64.4,52,95,11.41,AU,1604348378
Ust-Nera,64.57,143.2,-17.61,77,0,2.77,RU,1604348379
Corinth,37.94,22.96,60.01,65,87,3,GR,1604348278
Dunedin,-45.87,170.5,53.01,69,100,25.01,NZ,1604348227
Bredasdorp,-34.53,20.04,66.2,82,21,14.99,ZA,1604348380
Ponta do Sol,32.67,-17.1,71.6,68,75,10.29,PT,1604348380
Dudinka,69.41,86.18,15.8,92,40,2.24,RU,1604348380
Saskylakh,71.92,114.08,5,93,98,7.36,RU,1604348381
Longyearbyen,78.22,15.64,35.6,74,75,43.62,SJ,1604348381
Abu Kamal,34.45,40.92,68.47,34,50,7.16,SY,1604348381
East London,-33.02,27.91,67.55,83,77,15.61,ZA,1604348382
Saint Paul Harbor,57.79,-152.41,26.6,53,1,17.22,US,1604348382
Wanning,18.8,110.4,71.78,86,100,9.53,CN,1604348382
Sitka,57.05,-135.33,42.8,75,90,4.7,US,1604348383
Yakeshi,49.28,120.73,6.31,89,0,10.63,CN,1604348383
Zambrów,52.99,22.24,54,95,100,1.99,PL,1604348384
Nizhniy Kuranakh,58.84,125.49,-14.33,86,18,1.59,RU,1604348384
Cherskiy,68.75,161.3,-4.59,91,100,12.24,RU,1604348384
Porto-Novo,6.5,2.6,80.6,88,20,2.24,BJ,1604348384
Bitam,2.08,11.5,70.07,96,82,1.52,GA,1604348385
Avera,33.19,-82.53,62.01,21,1,5.82,US,1604348385
Harwich,51.94,1.28,51.01,60,0,11.01,GB,1604348385
Mogadishu,2.04,45.34,79.41,81,0,9.31,SO,1604348180
Bajah,13.81,44.63,67.05,46,0,1.59,YE,1604348386
Meulaboh,4.14,96.13,77.41,83,100,3.6,ID,1604348387
Margate,51.38,1.39,51.01,67,0,4,GB,1604348387
Honiara,-9.43,159.95,75.2,94,40,4.7,SB,1604348111
General Roca,-39.03,-67.58,95,15,0,4.7,AR,1604348387
Carutapera,-1.2,-46.02,83.23,71,0,7.76,BR,1604348388
São João da Barra,-21.64,-41.05,73.4,53,75,14.99,BR,1604348388
Gemeente Schiedam,51.92,4.38,55.4,71,0,17.22,NL,1604348389
Sharjah city,25.36,55.4,82.4,78,0,5.82,AE,1604348389
Claveria,18.61,121.08,77.11,78,100,10.22,PH,1604348389
Conde,-7.26,-34.91,82.4,69,20,11.41,BR,1604348390
Kruisfontein,-34,24.73,64.99,86,0,5.01,ZA,1604348390
Hong Kong,22.29,114.16,73,68,45,1.99,HK,1604348293
Amapá,1,-52,82.42,63,100,1.57,BR,1604348390
Te Anau,-45.42,167.72,48.49,71,66,0.74,NZ,1604348391
Naryan-Mar,67.67,53.09,32.23,95,100,15.5,RU,1604348392
Kota Belud,6.35,116.43,77,100,40,3.36,MY,1604348392
Noyabrsk,63.2,75.45,14.77,97,51,9.22,RU,1604348392
Rocky Mountain House,52.37,-114.92,66.2,16,93,12.75,CA,1604348393
Port Hardy,50.7,-127.42,50,93,90,21.92,CA,1604348393
Klaksvík,62.23,-6.59,44.6,75,0,18.34,FO,1604348393
Kumul,42.8,93.45,38.86,67,0,4.21,CN,1604348394
Coyhaique,-45.58,-72.07,64.4,48,0,8.05,CL,1604348394
Ust'-Ishim,57.69,71.17,30.51,98,100,4.59,RU,1604348394
Castro,-24.79,-50.01,68.13,47,13,4.38,BR,1604348395
Dörverden,52.85,9.23,57.99,71,20,16.11,DE,1604348395
Gaya,24.78,85,66.2,77,40,5.61,IN,1604348395
Yangi Marg`ilon,40.43,71.72,44.6,39,0,6.93,UZ,1604348396
Mahébourg,-20.41,57.7,71.6,73,40,11.41,MU,1604348396
Kidal,18.44,1.41,78.06,17,96,11.59,ML,1604348397
Banjar,-8.19,114.97,76.62,72,100,3.29,ID,1604348397
Nanortalik,60.14,-45.24,30.09,87,91,7.9,GL,1604348398
Barguzin,53.62,109.62,15.75,81,61,3.2,RU,1604348398
Katsuura,35.13,140.3,60.8,93,75,8.05,JP,1604348398
Ouro Preto do Oeste,-10.75,-62.22,91.74,47,46,1.9,BR,1604348399
Leh,34.17,77.58,30.24,68,0,2.48,IN,1604348399
Grootfontein,-19.57,18.12,81.19,30,51,13.33,NA,1604348399
Clyde River,70.47,-68.59,12.2,85,75,16.11,CA,1604348400
Nyurba,63.28,118.33,7.99,85,100,7.99,RU,1604348400
Butaritari,3.07,172.79,81,75,51,17.52,KI,1604348111
Ribeira Grande,38.52,-28.7,62.6,59,75,4.7,PT,1604348401
San Policarpo,12.18,125.51,77.67,86,100,5.14,PH,1604348402
Bardsīr,29.92,56.57,46.4,17,0,4.7,IR,1604348402
Turaif,31.67,38.66,62.6,77,0,8.05,SA,1604348402
São Filipe,14.9,-24.5,81.14,65,28,2.77,CV,1604348403
Chokurdakh,70.63,147.92,-8.86,89,99,10.58,RU,1604348403
Yerbogachën,61.28,108.01,23.2,97,100,9.64,RU,1604348404
Cap Malheureux,-19.98,57.61,69.01,70,11,1.99,MU,1604348404
Berdigestyakh,62.1,126.7,-4.77,91,0,3.29,RU,1604348404
Zhigalovo,54.81,105.16,21.74,89,100,2.82,RU,1604348405
Sakakah,29.97,40.21,73.4,46,75,17.22,SA,1604348268
Sumbe,-11.21,13.84,77.9,85,96,8.39,AO,1604348406
Brønnøysund,65.46,12.2,48.2,93,75,12.75,NO,1604348406
Tokat,40.42,36.58,39.04,93,4,1.63,TR,1604348406
Salalah,17.02,54.09,78.8,54,0,6.93,OM,1604348407
Aklavik,68.22,-135.01,1.4,77,100,4.7,CA,1604348407
Sungai Penuh,-2.08,101.38,65.75,95,100,1.43,ID,1604348407
Stourbridge,52.46,-2.14,46,78,32,1.99,GB,1604348409
Hamilton,39.18,-84.53,50,25,1,11.41,US,1604348409
Riohacha,11.54,-72.91,84.45,72,93,10.16,CO,1604348410
Broome,42.25,-75.83,37.99,85,75,20.8,US,1604348144
Rupert,42.62,-113.68,66.2,20,1,8.05,US,1604348332
Freeport,40.66,-73.58,45,26,1,18.34,US,1604348354
Yabēlo,4.88,38.08,59.7,96,72,12.57,ET,1604348411
Airai,-8.93,125.41,61.2,65,74,1.63,TL,1604348412
Pevek,69.7,170.31,13.59,91,72,16.24,RU,1604348412
Ajra,16.12,74.2,67.23,69,0,5.08,IN,1604348412
Oranjemund,-28.55,16.43,62.29,88,35,13.67,NA,1604348413
Belmonte,-15.86,-38.88,69.8,88,90,5.82,BR,1604348413
Chui,-33.7,-53.46,64.67,66,46,8.88,UY,1604348413
Florianópolis,-27.61,-48.5,73.99,49,40,12.75,BR,1604348414
Coahuayana Viejo,18.73,-103.68,86,40,40,2.71,MX,1604348414
Gouré,13.98,10.27,82,23,96,5.99,NE,1604348414
Joaquim Nabuco,-8.62,-35.53,78.93,70,44,11.95,BR,1604348415
Moranbah,-22,148.05,70.36,80,34,17.76,AU,1604348415
Gumdag,39.21,54.59,67.91,22,89,11.88,TM,1604348415
Torbat-e Jām,35.24,60.62,58.51,34,0,7.11,IR,1604348416
Faya,18.39,42.45,60.8,82,0,2.08,SA,1604348416
Mezen',65.85,44.24,30.34,89,0,14.36,RU,1604348416
Richards Bay,-28.78,32.04,69.1,90,91,4.56,ZA,1604348417
Kiryat Gat,31.61,34.76,71.01,76,10,1.86,IL,1604348417
Mildura,-34.2,142.15,66,59,66,6.93,AU,1604348418
Port Keats,-14.25,129.55,83.08,77,82,10.45,AU,1604348418
Pa Sang,18.53,98.94,75.99,94,20,3.36,TH,1604348419
Hubli,15.35,75.17,70.86,60,0,8.48,IN,1604348419
Qaanaaq,77.48,-69.36,6.51,78,100,6.62,GL,1604348420
Kenderes,47.25,20.68,53.01,100,90,2.24,HU,1604348420
Ellisras,-23.66,27.74,75.33,46,3,8.5,ZA,1604348420
Qasigiannguit,68.82,-51.19,21.2,67,40,13.87,GL,1604348421
Mossamedes,-15.2,12.15,68.43,78,0,6.2,AO,1604348421
Belfast,54.58,-5.93,44.01,87,97,14.99,GB,1604348422
Tekeli,44.83,78.82,40.59,54,100,4.32,KZ,1604348422
Luganville,-15.53,167.17,77,94,75,1.95,VU,1604348423
Bowen,-20.02,148.23,75.2,83,40,9.17,AU,1604348424
Bathsheba,13.22,-59.52,86,66,40,18.34,BB,1604348424
Ust'-Omchug,61.15,149.63,13.26,94,100,6.93,RU,1604348425
Usinsk,65.99,57.53,32.61,96,100,17.69,RU,1604348425
Mahon,39.89,4.27,62.6,82,40,6.93,ES,1604348425
Marfino,55.7,37.38,43,93,90,11.18,RU,1604348425
Boffa,10.17,-14.03,79.07,85,0,4.52,GN,1604348426
Acapulco de Juárez,16.86,-99.89,86,74,20,12.75,MX,1604348178
Carlsbad,33.16,-117.35,81,68,1,9.17,US,1604348427
Berlevåg,70.86,29.09,35.6,85,75,27.51,NO,1604348427
Mazatlán,23.22,-106.42,91.4,46,5,6.93,MX,1604348427
Wasaga Beach,44.52,-80.02,39.2,60,100,8.05,CA,1604348428
Hirara,24.8,125.28,76.26,78,100,31.36,JP,1604348428
Kincardine,56.07,-3.72,46,93,20,6.93,GB,1604348428
Aykino,62.22,49.99,26.67,95,37,6.08,RU,1604348429
Chancay,-11.57,-77.27,69.01,72,20,8.05,PE,1604348429
Dicabisagan,17.08,122.42,77.31,87,100,7.14,PH,1604348430
Corinth,37.94,22.96,60.01,65,87,3,GR,1604348278
Elda,38.48,-0.79,62.01,75,0,0.96,ES,1604348430
Layou,13.2,-61.27,77,78,75,5.82,VC,1604348430
Alofi,-19.06,-169.92,77,94,75,14.99,NU,1604348431
Las Compuertas,25.45,-108.35,97,22,0,8.01,MX,1604348431
Hualmay,-11.1,-77.61,68.02,64,100,8.84,PE,1604348432
Poum,-20.23,164.02,77.14,78,100,6.08,NC,1604348432
Maragogi,-9.01,-35.22,78.82,78,41,13.73,BR,1604348432
Tazovsky,67.47,78.7,19.15,98,99,12.48,RU,1604348432
Latung,5.5,120.88,82.72,81,99,11.65,PH,1604348433
Tuatapere,-46.13,167.68,48.7,69,94,1.83,NZ,1604348433
Faanui,-16.48,-151.75,79.34,79,2,16.33,PF,1604348434
Verkhoyansk,67.54,133.38,-17.41,81,0,2.59,RU,1604348434
Bilma,18.69,12.92,74.52,21,0,8.3,NE,1604348434
Bagdarin,54.43,113.6,6.3,78,0,2.33,RU,1604348435
Los Llanos de Aridane,28.66,-17.92,73.4,73,0,10.29,ES,1604348435
Rawson,-43.3,-65.1,79.84,22,100,12.75,AR,1604348435
Acajutla,13.59,-89.83,82.4,51,40,8.05,SV,1604348143
Shakawe,-18.37,21.85,74.8,40,63,5.77,BW,1604348436
Ambon City,-3.7,128.18,81,94,100,5.14,ID,1604348436
Fort Nelson,58.81,-122.7,10.4,78,90,2.24,CA,1604348437
Caravelas,-17.71,-39.25,72.84,74,87,12.03,BR,1604348437
Bambous Virieux,-20.34,57.76,71.6,73,40,11.41,MU,1604348437
Venice,27.1,-82.45,77,50,1,20.8,US,1604348437
Bargur,12.54,78.35,69.93,88,0,1.48,IN,1604348438
Geraldton,-28.77,114.6,59,93,75,8.05,AU,1604348438
Yārāda,17.65,83.27,80.6,94,75,2.24,IN,1604348438
Eydhafushi,5.1,73.07,82.72,72,5,6.49,MV,1604348439
Flinders,-34.58,150.86,57,89,14,1.01,AU,1604348439
Puerto Escondido,15.85,-97.07,87.89,52,100,5.17,MX,1604348439
Padang,-0.95,100.35,77.56,75,100,3.8,ID,1604348439
Lindi,-10,39.72,75.2,88,20,5.82,TZ,1604348440
Neuquén,-38.95,-68.06,95,15,0,4.7,AR,1604348360
San Cosme y Damián,-27.32,-56.35,87.8,22,40,6.93,PY,1604348440
Nantucket,41.28,-70.1,42.8,48,75,21.92,US,1604348441
Laas,46.62,10.7,46.4,87,5,3.36,IT,1604348441
Songyang,34.46,113.03,51.01,99,52,3.24,CN,1604348441
Nālūt,30.33,10.85,63.46,40,0,10.04,LY,1604348441
Lárdos,36.09,28.02,68,59,20,2.24,GR,1604348241
Tura,25.52,90.22,70.7,90,36,1.54,IN,1604348442
Nur-Sultan,51.18,71.45,30.2,86,90,4.47,KZ,1604348393
Palamós,41.85,3.13,61,51,62,5.37,ES,1604348443
Esperance,-33.87,121.9,57.2,100,90,14.99,AU,1604348443
Beaumont,30.09,-94.1,71.6,30,1,9.17,US,1604348414
Makakilo City,21.35,-158.09,82,69,1,4.7,US,1604348443
Yairipok,24.67,94.07,64.35,95,70,0.85,IN,1604348444
Bahía de Caráquez,-0.6,-80.42,78.8,78,75,12.75,EC,1604348444
Lebaksiu,-7.05,109.14,74.34,84,19,4.97,ID,1604348445
Santa Maria,-29.68,-53.81,77,38,20,14.99,BR,1604348445
Pavlodar,52.3,76.95,32,94,90,6.71,KZ,1604348445
Grand Gaube,-20.01,57.66,69.01,70,10,1.99,MU,1604348446
Cochrane,51.18,-114.47,71.6,18,90,13.87,CA,1604348229
Şag,45.65,21.18,54,100,90,5.82,RO,1604348446
Kupang,-10.17,123.58,79.27,75,100,6.62,ID,1604348447
Teya,60.38,92.63,23.43,95,94,6.06,RU,1604348447
Chapais,49.78,-74.85,21.2,73,75,6.93,CA,1604348448
Man,7.41,-7.55,73.98,84,94,1.54,CI,1604348448
Jiuquan,39.74,98.52,33.24,73,0,1.74,CN,1604348449
Lumut,4.23,100.63,75.2,94,20,4.16,MY,1604348449
Saint-Philippe,-21.36,55.77,73.4,53,90,6.93,RE,1604348450
Arrecife,28.96,-13.55,71.6,78,20,12.75,ES,1604348450
Guerrero Negro,27.98,-114.06,78.94,48,0,13.94,MX,1604348451
Povenets,62.85,34.83,42.66,84,100,21.14,RU,1604348451
Kondinskoye,59.65,67.41,23,98,9,6.76,RU,1604348451
Turan,16.07,108.22,71.6,94,75,2.24,VN,1604348426
Makurdi,7.74,8.51,80.04,62,100,2.17,NG,1604348452
Khao Wong,16.7,104.09,70.25,83,87,8.21,TH,1604348452
Zhoukou,33.63,114.63,49.17,43,29,4.97,CN,1604348453
Antsirabe,-19.85,47.03,60.49,62,7,1.52,MG,1604348453
Hofn,64.25,-15.21,41,48,75,10.29,IS,1604348453
Yuancheng,36.65,107.79,37.51,65,18,2.57,CN,1604348453
Cairns,-16.92,145.77,77,78,40,9.17,AU,1604348454
Iğdır,39.92,44.05,53.6,62,20,1.12,TR,1604348454
Leningradskiy,69.38,178.42,16.16,85,100,3.65,RU,1604348455
Kadoma,34.73,135.58,57.99,57,100,9.75,JP,1604348455
La Troncal,-2.4,-79.33,84.2,20,20,21.92,EC,1604348455
Half Moon Bay,37.46,-122.43,77,40,5,3.36,US,1604348307
Kapit,2.02,112.93,73.4,95,100,2.01,MY,1604348456
Oranmore,53.27,-8.92,46.4,70,40,11.41,IE,1604348456
Lavrentiya,65.58,-171,19.53,87,0,3.91,RU,1604348457
Bǝrdǝ,40.37,47.13,64.4,72,90,13.87,AZ,1604348457
Darnah,32.77,22.64,69.55,64,100,9.53,LY,1604348457
Sørland,67.67,12.69,46.4,93,75,9.17,NO,1604348458
Schifferstadt,49.39,8.37,66.2,68,0,6.93,DE,1604348458
Kaeo,-35.1,173.78,66.99,86,100,8.99,NZ,1604348458
Wakefield,53.68,-1.5,46,91,88,18.16,GB,1604348459
Erenhot,43.65,111.98,24.22,76,0,4.65,CN,1604348459
Anadyr,64.75,177.48,15.8,85,90,4.47,RU,1604348459
Davila,18.47,120.58,78.08,79,100,20.13,PH,1604348460
Cidreira,-30.18,-50.21,65.86,56,0,8.95,BR,1604348460
Provincia di Ancona,43.55,13.17,55.99,93,100,1.12,IT,1604348460
Suining,30.51,105.57,56.23,92,100,3.62,CN,1604348461
Dalvik,65.97,-18.53,41,48,75,14.99,IS,1604348461
Ternate,0.8,127.4,77.88,85,100,5.61,ID,1604348461
Iqaluit,63.75,-68.51,17.6,67,75,13.87,CA,1604348462
Severnoye,56.35,78.36,30.45,99,100,6.51,RU,1604348462
Velikiy Ustyug,60.76,46.31,28.71,97,23,6.91,RU,1604348463
Tashla,51.77,52.74,42.87,64,85,7.92,RU,1604348464
Cayenne,4.93,-52.33,78.8,94,20,4.7,GF,1604348464
Bouaké,7.69,-5.02,77.09,75,86,2.62,CI,1604348464
Berbera,10.44,45.01,80.01,65,0,4.59,SO,1604348465
Cartagena,10.4,-75.51,82.76,80,43,10.98,CO,1604348451
